id,hurricane,type,orig_student,exact,text,orig_compound,vader_compound,delta,orig_label,vader_label,label_flip,cause
phi_mil_177_c117,Milton,comment,Grimes/Milton,True,Already lost power in holiday,0.1027,0.1027,0.0,positive,positive,False,reproduced
phi_deb_Aug4_6_c118,Debby,comment,Bowers/Debby,True,so far our flight is still on,0.0,0.0,0.0,neutral,neutral,False,reproduced
phi_mil_189_c112,Milton,comment,Grimes/Milton,True,Wind hasn’t stopped in northern western Lutz!!!,-0.4168,-0.4168,0.0,negative,negative,False,reproduced
phi_mil_43_c192,Milton,comment,Grimes/Milton,True,"I think you're better off farther north, but I don't know. I guess it depends where in Miami.",0.2382,0.2382,0.0,positive,positive,False,reproduced
phi_mil_184_c025,Milton,comment,Grimes/Milton,True,thank godyou took the time to message,0.3612,0.3612,0.0,positive,positive,False,reproduced
phi_mil_40_c140,Milton,comment,Grimes/Milton,True,Thank you for your efforts Denis Phillips. Could you also share the situation about university of miami.. I am a concerned parent in the other part of the world and really appreciate your work,0.7713,0.7713,0.0,positive,positive,False,reproduced
phi_mil_65_c013,Milton,comment,Grimes/Milton,True,They're all different; lots of different variables and moving parts!,0.0,0.0,0.0,neutral,neutral,False,reproduced
phi_mil_31_c079,Milton,comment,Grimes/Milton,True,Why is it a perfect circle? Such a weird hurricane,0.4588,0.4588,0.0,positive,positive,False,reproduced
phi_mil_103_c107,Milton,comment,Grimes/Milton,True,Do we think the bay is going to empty before it surges?,-0.2023,-0.2023,0.0,negative,negative,False,reproduced
phi_deb_Aug4_31_c004,Debby,comment,Bowers/Debby,True,You are very welcome. Heard we might be getting between 5-10 inches of rain. I know it has to be difficult being so far away!,0.2698,0.2698,0.0,positive,positive,False,reproduced
phi_deb_Aug2_17_c052,Debby,comment,Bowers/Debby,True,Indian grounds 🙏,0.0,0.0,0.0,neutral,neutral,False,reproduced
phi_mil_58_c096,Milton,comment,Grimes/Milton,True,"Denis, Do you want me to say it?",0.0772,0.0772,0.0,positive,positive,False,reproduced
phi_deb_Aug1_9_c008,Debby,comment,Bowers/Debby,True,it has a significantly higher percentage of accuracy over the years.,0.0,0.0,0.0,neutral,neutral,False,reproduced
phi_deb_Aug4_64_c021,Debby,comment,Bowers/Debby,False,"Stay inside, don't ever drive through flooded roads.",0.0,0.0,0.0,neutral,neutral,False,reproduced
phi_mil_19_c083,Milton,comment,Grimes/Milton,True,check with your airline bc they should have a travel advisory in effect right now allowing you to move up your flight for free to allow you to leave sooner. i work at the airport and i’m almost positive they will close sometime tuesday night to prepare for wednesday.,0.8078,0.8078,0.0,positive,positive,False,reproduced
phi_mil_184_c021,Milton,comment,Grimes/Milton,True,calm before the storm?,0.3182,0.3182,0.0,positive,positive,False,reproduced
phi_mil_2_c086,Milton,comment,Grimes/Milton,True,the worst that will happen is you didn’t need them. Better than wishing you had put them up.,-0.0772,-0.0772,0.0,negative,negative,False,reproduced
phi_deb_Aug3_11_c095,Debby,comment,Bowers/Debby,False,dang! Now I’m on a mission to find them,0.0,0.0,0.0,neutral,neutral,False,reproduced
phi_deb_Aug4_64_c144,Debby,comment,Bowers/Debby,False,"doesn’t appear so
You can add the accuweather app and it will send you an alert also if anything 🌪️🚩",0.296,0.296,0.0,positive,positive,False,reproduced
phi_deb_Aug4_5_c113,Debby,comment,Bowers/Debby,True,whatever the predicted rainfall for your area is,0.0,0.0,0.0,neutral,neutral,False,reproduced
phi_deb_Aug3_9_c046,Debby,comment,Bowers/Debby,False,I would leave today for a cornucopia of reasons.,-0.0516,-0.0516,0.0,negative,negative,False,reproduced
phi_mil_49_c112,Milton,comment,Grimes/Milton,True,He's already striving for Cat 5 status.,0.0,0.0,0.0,neutral,neutral,False,reproduced
phi_mil_188_c044,Milton,comment,Grimes/Milton,True,The wind is still wicked in Palm Harbor !!!,-0.6458,-0.6458,0.0,negative,negative,False,reproduced
phi_mil_13_c101,Milton,comment,Grimes/Milton,True,Fyi many hotels are already booked with Helene victims,-0.128,-0.128,0.0,negative,negative,False,reproduced
