"WOW!  As we just posted, the NHC has indeed moved the track of what is now Tropical Depression #4 quite a bit to the West. The center has reformed South of Cuba and West of its original spot. This is certainly good news for our area yet it also increases the chance of a stronger storm in the Big Bend Area. Updates to come shortly after the newscast. Check us out at 11 on ABC Action News.",Pos,Neu,Neg,Compound,Overall Sentiment
Same,0.0,1.0,0.0,0.0,NEU
"It’s because of the Indian burial grounds around Tampa.
But let’s hope our friends up north get through this one okay",0.365,0.635,0.0,0.8847,POS
I was coming here to say this!! Haha!,0.422,0.578,0.0,0.6571,POS
Watch it will go back east at last min,0.0,1.0,0.0,0.0,NEU
yeah don’t they always I just have a feeling this could turn into hurricane here we go again definitely not ready for this. Praying for the best.,0.383,0.555,0.062,0.8747,POS
I hope it does. So they people in the Big Ben don’t get hit by a big hurricane,0.162,0.838,0.0,0.4404,POS
"there are barely any residents in the big bend. And if it does strike, it will be a minimal hurricane.",0.0,0.923,0.077,-0.128,NEG
"I wouldn’t say “will”. With all that warm water out there, I wouldn’t be so quick to roll out a 2+",0.101,0.899,0.0,0.2263,POS
"DP says cat 1 at the worst. I'm willing to go with the pro",0.0,0.745,0.255,-0.6249,NEG
"Weather is unpredictable, ESPECIALLY potential hurricanes days out. But only time will tell. Just have to stay prepared",0.121,0.879,0.0,0.3291,POS
I'm pretty positive it won't strengthen past a cat 1.,0.461,0.406,0.133,0.7039,POS
don't they always shift more East than predicted when it is 2+ days out?,0.0,1.0,0.0,0.0,NEU
nah,0.0,0.0,1.0,-0.1027,NEG
"It will shift again",0.0,1.0,0.0,0.0,NEU
Every major hurricane we’ve seen that developed near Cuba has had a center relocation happen. The center relocated here as well.,0.1,0.9,0.0,0.2732,POS
yeah back east with the front heading southeast it will bend it right after it gets to fort myers.,0.109,0.891,0.0,0.296,POS
It will be a rain maker in FL.,0.0,1.0,0.0,0.0,NEU
"and again and again and again 1 hour before landfall",0.0,1.0,0.0,0.0,NEU
Not the same magnitude that the models shifted west.,0.0,1.0,0.0,0.0,NEU
it would not shock me if it did at 5 AM because it has not made that North turn yet,0.108,0.892,0.0,0.2924,POS
"Easiest job being a meteorologist, you don’t really have to ever know the truth. 😂",0.317,0.683,0.0,0.6249,POS
the Dunning Kruger Effect is strong with this one. ☝️,0.268,0.732,0.0,0.5106,POS
"What a sad person you are.",0.0,0.563,0.437,-0.4767,NEG
"Because if we knew, then we'd certainly tell you.",0.231,0.769,0.0,0.34,POS
who’s “we”I was just strictly speaking to a person that owns this page.,0.0,1.0,0.0,0.0,NEU
but you can’t just spout off whatever you want or you will lose all credibility.,0.081,0.722,0.197,-0.4767,NEG
"I don’t know what spouting is, but I can say whatever I want and yes, it’s the absolute truth, but thank you for your feedback, Chris.",0.371,0.629,0.0,0.8807,POS
"nobody is just spouting anything off",0.0,1.0,0.0,0.0,NEU
"I believe “Idiot” is the word you’re looking for, to match that definition.",0.0,1.0,0.0,0.0,NEU
"Why are you here?",0.0,1.0,0.0,0.0,NEU
"absolutely not calling anybody an idiot. I appreciate every weatherman and actually everybody and mother nature is unpredictable. It’s a light hearted joke, trying to lighten the mood… having a sense of humor. Oh my gosh. Welp. “did you get that?” PS your comment makes absolutely no sense. I wish you well.",0.205,0.697,0.098,0.6452,POS
Some of us wanted the storm in Sarasota. This back and forth is ridiculous,0.0,0.839,0.161,-0.3612,NEG
I'm up in manatee was hoping the same.,0.286,0.714,0.0,0.4215,POS
are we in the clear in Manatee county then? Probably just rain?,0.212,0.788,0.0,0.4515,POS
huh,0.0,1.0,0.0,0.0,NEU
Yeah great great update for a lot but not so much for us in Jax or Big Bend area,0.309,0.691,0.0,0.6908,POS
Prayers for Ceder Key!!! They got it so bad last year and they are still not 100% 🙏😪🙏❤️,0.0,0.76,0.24,-0.7482,NEG
"Hey everyone, let's take a deep breath and remember - we've weathered tougher storms before! This current shake-up may seem daunting, but it's just a minor tremor compared to what we've overcome in the past. Keep in mind that God is always good, even in uncertain times. His love and faithfulness remain constant, a steady anchor in every storm. Let's hold onto hope and trust that He is working everything out for our good.""",0.287,0.682,0.031,0.9758,POS
amen. God is good all the time all the time God is good we will whether this storm like we always do. 🙏🏻,0.41,0.59,0.0,0.8885,POS
oh brother,0.0,1.0,0.0,0.0,NEU
"does he have any sandbags?",0.0,1.0,0.0,0.0,NEU
Amen!,0.0,1.0,0.0,0.0,NEU
"amen, Ann",0.0,1.0,0.0,0.0,NEU
"Amen!",0.0,1.0,0.0,0.0,NEU
"We live in Melbourne, Florida! Not much rain or wind here yet! My dear friends are living in St Petersburg, Florida! Be safe please !❤️🙏😇",0.365,0.635,0.0,0.9015,POS
Indian burial grounds!,0.0,1.0,0.0,0.0,NEU
"iykyk",0.0,1.0,0.0,0.0,NEU
yep!!,1.0,0.0,0.0,0.4184,POS
"yes!!!! 💯",0.0,1.0,0.0,0.0,NEU
"Tbats what they say.",0.0,1.0,0.0,0.0,NEU
no it’s steering current,0.0,0.577,0.423,-0.296,NEG
what about the Indian burial grounds? 😊,0.0,1.0,0.0,0.0,NEU
"Euro said it will go west. Euro is never wrong.",0.221,0.779,0.0,0.3724,POS
"Praying for everyone in the path of Debby! I’m in New Port Richey, area and still have PTSD from hurricane IAN!",0.134,0.866,0.0,0.4738,POS
Same! We are on the coast in SC and it almost took our house out! We ended up raising it 12 ft in the air. Ian was a nightmare 😔,0.0,1.0,0.0,0.0,NEU
I’m sorry!! That’s really sad!!,0.0,0.339,0.661,-0.706,NEG
I would be prepared for a shift back our way.,0.213,0.787,0.0,0.2263,POS
ian? We didn’t even get the brunt of that. It pretty much went right over my cousins house in punta gorda,0.138,0.862,0.0,0.4939,POS
"my cousin, lives on the water and hurricane Ian, destroyed their house! I love Florida, but, these hurricanes have gotten worse since I was little!!",0.087,0.673,0.24,-0.6732,NEG
maybe they have. I mean things “warmed up” a bit since the little Ice age ended in the early 1800s,0.0,1.0,0.0,0.0,NEU
"New Port Richey aslo",0.0,1.0,0.0,0.0,NEU
stay safe,0.744,0.256,0.0,0.4404,POS
We got the burial grounds. This always happens,0.0,1.0,0.0,0.0,NEU
that's why they put the burial grounds here. Which came first the chicken or the egg?,0.0,1.0,0.0,0.0,NEU
Hate those it might hit but us here in lower keys are breathing a sigh of relief,0.236,0.535,0.229,0.0387,NEU
We are supposed to drive from North Port to Mobile Alabama for our grandmas funeral this weekend. Funeral is Tuesday. Idk if we should leave before storm late tomorrow afternoon or behind it early on Monday morning. 😔 seriously stressed out.,0.0,0.744,0.256,-0.8271,NEG
leave early and do something fun before the funeral,0.254,0.462,0.285,0.1531,POS
Every time. God bless the Indian mounds or whatever it is that keeps us safe. 🙌🏼,0.375,0.625,0.0,0.7783,POS
amen 🙏🏻,0.0,1.0,0.0,0.0,NEU
Big Bend area taking it for the team again. 😔,0.0,1.0,0.0,0.0,NEU
yeah looks like Jax will be getting it bad too!,0.322,0.452,0.226,0.126,POS
So it's going to be sunny in dunedin on Sunday!? ☀️😊 😉,0.236,0.764,0.0,0.4753,POS
Arriving in to St. Pete airport tonight. Should I be worried? Thank you.,0.17,0.68,0.15,0.0772,POS
Does this impact the area of the PIE airport? Flying into this airport Sunday afternoon.,0.0,1.0,0.0,0.0,NEU
"just keep checking the airline. My daughter is suppose to fly in Saturday night and we have already received travel alerts. They can cancel at the last minute depending on conditions.",0.0,0.938,0.062,-0.25,NEG
"Flight Sunday 830pm from CT back home to FL, as of now does this flight look like it will happen?",0.116,0.884,0.0,0.3612,POS
call the airlines,0.0,1.0,0.0,0.0,NEU
"I checked this morning and it's still on time, I leave in over 24 hrs, it's like 36 hrs so could be time for it to still change and keep moving west. Wishful thinking.",0.074,0.89,0.036,0.3182,POS
Where are you landing in Florida?,0.0,1.0,0.0,0.0,NEU
And so it begins for us in the Panhandle 🫢the water is 92 degrees😫,0.0,1.0,0.0,0.0,NEU
Great news!!,0.824,0.176,0.0,0.6892,POS
Charlotte Harbor needs to pay attention. Always shifts like this and then hooks in.,0.157,0.755,0.088,0.2732,POS
Am in Pasco county Wesley chapel area how bad are we getting hit ?,0.0,0.774,0.226,-0.5423,NEG
Oh good! I can still go get groceries Sunday!,0.332,0.668,0.0,0.5399,POS
Thanks for always keeping us updated!,0.39,0.61,0.0,0.4926,POS
How will North Fort Myers be impacted by this storm?,0.0,1.0,0.0,0.0,NEU
How’s it looking for citrus? I see us still in the cone,0.0,1.0,0.0,0.0,NEU
What is the big bend area?,0.0,1.0,0.0,0.0,NEU
area where panhandle meets the peninsula south of Tallahassee,0.0,1.0,0.0,0.0,NEU
not where you live 🤣🤣🤣.,0.0,1.0,0.0,0.0,NEU
"What's it looking like for floral city ??",0.29,0.71,0.0,0.4329,POS
"Denis Phillips hi, St. Pete here…. I beg of you, please don’t share this news…. My husband STILL needs to cut the grass tomorrow “to prepare the yard for the storm” sincerely, a wife who won’t get the mower started if her life depended on it. Thanks a bunch 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣",0.192,0.769,0.038,0.8126,POS
Steve is doing yard work as we speak 🤣🤣🤣,0.0,1.0,0.0,0.0,NEU
wouldn’t you know it. Orlando said we’re not getting anything to fuss about. The yard will wait it out 😒😒😒,0.0,1.0,0.0,0.0,NEU
I need pictures.. we're about to get waterfalls lol,0.286,0.714,0.0,0.4215,POS
"Denis is the best. No hype, just real reporting for our weather. Everything is going to go perfectly. I just wanted to make sure you saw this too. 😎🌞",0.29,0.65,0.06,0.8591,POS
I have been following him for years to watch your weather. I watched his live last night and know to check with him first about my flight 😂,0.0,1.0,0.0,0.0,NEU
Thanks! What does this mean for storm surge in an area like Shore Acres given what happened last year during hurricane idalia?!,0.23,0.77,0.0,0.717,POS
asking this from shore acres as well! Idalia was awful for all of us here! Feeling a bit uneasy.,0.151,0.589,0.26,-0.555,NEG
It flooded all of shore acres as a reminder 🙁,0.0,1.0,0.0,0.0,NEU
Love your name. I had twin aunts one was Auny Mary and the other Aunt Viola..they both had beautiful souls. 💕 Sorry..this was more important to me to comment on your name rather the weather. Stay safe! 🤗,0.302,0.698,0.0,0.9244,POS
i’m pretty sure it means nothing and if it means something is gonna change in about 10 minutes.,0.256,0.744,0.0,0.6705,POS
How much rain for the Tampa area?,0.0,1.0,0.0,0.0,NEU
"Denis- do we still need to move our outdoor stuff indoors ? Brandon area",0.0,1.0,0.0,0.0,NEU
it’s moving my witchy girlllll 😛,0.0,1.0,0.0,0.0,NEU
Sorry but what does big bend area mean?,0.0,0.859,0.141,-0.0387,NEU
Near the Panhandle area.,0.0,1.0,0.0,0.0,NEU
see helpful map above in the comments.,0.318,0.682,0.0,0.4215,POS
it's where it's supposed to make landfall. The are is called the big bend. The upper right corner of the Gulf,0.0,1.0,0.0,0.0,NEU
I live in Lakewood ranch??,0.0,1.0,0.0,0.0,NEU
Tallahassee. Wakulla area.,0.0,1.0,0.0,0.0,NEU
thanks so much 😊🙏,0.492,0.508,0.0,0.4404,POS
Is shore acres going to be alright?,0.25,0.75,0.0,0.25,POS
Do you sleep?,0.0,1.0,0.0,0.0,NEU
he doesn’t. It’s all the diet Dr Pepper 🤣,0.0,1.0,0.0,0.0,NEU
we are so lucky to have such an awesome meteorologist in our hood!!,0.43,0.57,0.0,0.8519,POS
for sure!,0.722,0.278,0.0,0.3802,POS
do you? 🤣💜😘,0.0,1.0,0.0,0.0,NEU
Thank you Lord Jesus! Keep moving that cone or better yet just be rain and no hurricane!,0.27,0.631,0.099,0.5837,POS
Category 2 or 3 would be nice,0.412,0.588,0.0,0.4215,POS
Wow that’s a big shift to the west,0.388,0.612,0.0,0.5859,POS
It will end up in Houston..😆,0.0,1.0,0.0,0.0,NEU
We must have the same Indian Tribe in Sarasota 🤷🏼,0.0,1.0,0.0,0.0,NEU
Is it GANNA rain tho!?!?,0.0,1.0,0.0,0.0,NEU
This was the longest group of clouds I’ve followed before it became a “depression”,0.0,1.0,0.0,0.0,NEU
Testament to the NHC that they knew what to look for all along. Can't say we didn't know about it.,0.0,1.0,0.0,0.0,NEU
Was actually kind of looking forward to it here in Polk County,0.0,1.0,0.0,0.0,NEU
"nope, not me.",0.0,1.0,0.0,0.0,NEU
I've just had a difficult couple of months and figured it would give me something different to focus on. As long as it stayed a tropical storm it's nothing to worry about,0.073,0.851,0.076,-0.0243,NEU
"I’ll take the rain any day, lol.",0.318,0.682,0.0,0.4215,POS
same! I would never be looking forward to any kind of storm for any reason lol,0.181,0.819,0.0,0.4753,POS
I actually love storms although I draw the line at major hurricanes,0.318,0.682,0.0,0.6369,POS
Good news for your travel plans,0.367,0.633,0.0,0.4404,POS
Everything I see i think this storm is dipping south and heading towards Mexico or belize,0.0,1.0,0.0,0.0,NEU
"Denis Phillips can you block this individual? I believe clicking on this is probably some type of a virus.
Everyone else… DO NOT CKICK ON THIS!!!",0.0,0.859,0.141,-0.5826,NEG
I know! It is so awful.,0.0,0.49,0.51,-0.632,NEG
"I heard yesterday, weak storms head west, strong storms head east. This one is big which has help it stay unorganized and weak.",0.201,0.604,0.195,0.0516,POS
strong storms go more north hence the more west shift to the north vs earlier today,0.18,0.82,0.0,0.5106,POS
good news for you,0.492,0.508,0.0,0.4404,POS
Always appreciate your updates!,0.499,0.501,0.0,0.4574,POS
So no storm and taking the boat out. Yayyyyy !!!,0.0,0.728,0.272,-0.5218,NEG
This track looks very familiar...,0.0,1.0,0.0,0.0,NEU
"On another channel, the weather guy said that if this storm were organized when it entered the Gulf, which it won’t be, that it could be a 200 mph storm because of the water temps in the Big Bend. Is this hype?",0.0,1.0,0.0,0.0,NEU
"you're kidding, right?",0.412,0.588,0.0,0.1027,POS
that’s what he said. Local NBC channel I think. After the Olympics.,0.0,1.0,0.0,0.0,NEU
"the weather guy said that exact thing. I heard it too. 11 pm news. Not saying it’s accurate, but he definitely said it.",0.145,0.855,0.0,0.5499,POS
"I saw it too. I actually thought it was a typo as I was at a restaurant and couldn’t hear what they were saying, lol",0.128,0.872,0.0,0.4215,POS
There will be no storm its been cancelled !!!!!,0.0,0.566,0.434,-0.6562,NEG
All this chatter and Watch it hit New Orleans as a Cat 5 like Katrina 18 years ago…. spaghetti anyone? 🤔,0.128,0.872,0.0,0.3612,POS
literally,0.0,1.0,0.0,0.0,NEU
