A Tornado Warning has been issued for our area. Stay tuned for further updates on your ABC Action News Station.,Pos,Neu,Neg,Compound,Overall Sentiment
"Going west oc Ft.Meade , Fl tornado.",0.0,1.0,0.0,0.0,NEU
How long will this rain be around?,0.0,1.0,0.0,0.0,NEU
"I’m in NPR stay safe everyone!!",0.411,0.589,0.0,0.5399,POS
"I can't find anything on Port Charlotte and North Port?",0.0,1.0,0.0,0.0,NEU
WINK Weather is great for that area.,0.406,0.594,0.0,0.6249,POS
right?,0.0,1.0,0.0,0.0,NEU
Naples- 3 baby woodpeckers taking shelter on the dry side of a palm tree during tornado warning 20 minutes ago.,0.0,0.876,0.124,-0.34,NEG
Stay safe. 😊,0.744,0.256,0.0,0.4404,POS
"That's ALOT of rain...don't drive people...",0.0,1.0,0.0,0.0,NEU
this isn't even close to the worst rain I've seen in the past two weeks. 🥴,0.0,0.773,0.227,-0.6249,NEG
"Too close to home,be safe everyone",0.367,0.633,0.0,0.4404,POS
Denis... you really need meteorologists who are familiar with maps and areas. The current person seems lost.,0.0,0.874,0.126,-0.3182,NEG
"Times? Tornado warnings have times, and that I know I am from up north where we get them often
You just don’t make a blank statement
Now a watch is different",0.0,0.922,0.078,-0.296,NEG
"it's literally written on the map. These are automatic posts, Denis didn't write it",0.0,1.0,0.0,0.0,NEU
"wrong time on the map, they last only 15 to 30 minutes or maybe a bit longer but not from 12pm to Sunday this seem the time for a watch
I lived in Michigan and Maryland. Right now there was a warning in St Petersburg, then weather service gave a warning but didn’t let anyone know when it was over, this isn’t very good report of tornadoes. If you went to hide in a closet or some place safe in your house, it is a good idea if the let you know when is safe to come out",0.149,0.757,0.094,0.8393,POS
it's different here then the midwest. They issue a warning when the storm has some rotation on radar. They also will reissue the warning after the time is up. It's common in hurricane feeder bands for there to be rotation so these counties have had warnings all day,0.0,0.863,0.137,-0.7184,NEG
"Watching Action News Live"" Everyone is doing Such a AMAZING JOB👍👏🌧🌧Thank All of ya for Helping us Watch after Our Families and Animals. Us Farmers Really Appreciate it❤️❤️",0.288,0.712,0.0,0.8666,POS
Hardly anything in Pinellas,0.0,1.0,0.0,0.0,NEU
rain and wind,0.0,1.0,0.0,0.0,NEU
"I'm watching my camera and it's barely sprinking, I bet because your close to the water",0.0,1.0,0.0,0.0,NEU
"yes. My son in Tampa said it's sprinkling there as well.",0.348,0.652,0.0,0.5859,POS
Warning or Watch? My app just said Watch.,0.0,0.745,0.255,-0.34,NEG
"….youre laughing because…..? There’s a difference you know.",0.348,0.652,0.0,0.4939,POS
I downloaded the app and there's a nice lady doing the weather report... Did I download the wrong app? 🤔,0.141,0.704,0.156,-0.0772,NEG
"no that's the one, but she's slow and not Denis Phillips lol",0.0,0.685,0.315,-0.5571,NEG
thank you.,0.714,0.286,0.0,0.3612,POS
"What is the app?I need to download it",0.0,1.0,0.0,0.0,NEU
well if Dennis isn't on it I guess I'm uninstalling the app.,0.174,0.826,0.0,0.2732,POS
"ABC action News",0.0,1.0,0.0,0.0,NEU
ty,1.0,0.0,0.0,0.3818,POS
"oh my, found the station link. she is . . . 😴",0.0,1.0,0.0,0.0,NEU
she's annoying like she's not sure of anything,0.206,0.411,0.383,-0.2874,NEG
it’s the ABC action news app. It’s the station Denis works for. Chief Meteorologist. I only have it for today.,0.0,1.0,0.0,0.0,NEU
yes me also,0.574,0.426,0.0,0.4019,POS
Im nap on that,0.0,1.0,0.0,0.0,NEU
"DENNIS!!!!
we need you on TV
you going in soon",0.0,1.0,0.0,0.0,NEU
