A Tropical Storm WATCH has been issued from Pasco/Hernando Co line south (Aripeka) south. A Tropical Storm WARNING is in effect from Bonita Beach south. The WATCH means tropical storm conditions are possible within the next 48 hours.,Pos,Neu,Neg,Compound,Overall Sentiment
Tomorrow morning should be fine. The big rain is late Saturday or Sunday,0.13,0.87,0.0,0.2023,POS
will it likely be all day Monday too or just Sunday? Headed to Clearwater,0.0,1.0,0.0,0.0,NEU
"you’ll be just slightly south of Tampa, on the coast. That will be a rainout beach trip, unfortunately 😞",0.0,0.87,0.13,-0.34,NEG
no worries - we will be there all week long 🙂,0.0,0.583,0.417,-0.6124,NEG
lots of rain,0.0,1.0,0.0,0.0,NEU
"Denis Phillips wait, we need the Taco comparison, quick!! 🤣",0.0,1.0,0.0,0.0,NEU
watch means you have the ingredients warning means it’s put together😊,0.0,0.806,0.194,-0.34,NEG
"Trying to go through all these comments to figure out what is considered “late” Saturday night. Kids and I are flying into Tampa tomorrow evening at 9:50pm from Raleigh, NC",0.0,1.0,0.0,0.0,NEU
you'll be good. Really looking at Sunday all day,0.266,0.734,0.0,0.4404,POS
This seems to he happening more and more on the west coast of FL. Especially in the past 3-4 years.,0.0,1.0,0.0,0.0,NEU
"Thank you Denis for keeping us informed.
I live in pasco county 5 miles from beach",0.161,0.839,0.0,0.3612,POS
Is now when we share the taco meme about watch versus warning?,0.151,0.685,0.164,-0.0516,NEG
I prefer cupcakes.... 😆,0.0,1.0,0.0,0.0,NEU
also a good one! 🤣,0.615,0.385,0.0,0.4926,POS
😂 It absolutely is.,0.0,1.0,0.0,0.0,NEU
Citrus co not in the watch that’s great news!,0.354,0.646,0.0,0.6588,POS
We will likely be added at 8pm update.,0.0,1.0,0.0,0.0,NEU
"What time will we expect to run out of milk, eggs and toilet paper!??",0.0,1.0,0.0,0.0,NEU
What is the likelihood that flights to/from TAMPA TIA may be cancelled on Mon/Tuesday next week ? 🤔😬🙏,0.192,0.713,0.095,0.4648,POS
"Let's keep it ""Tropical Storm"" watch 🙏",0.0,1.0,0.0,0.0,NEU
Rain fall totals in our area (Palm Harbor-Tarpon springs)for the next few days???,0.0,1.0,0.0,0.0,NEU
But how will this impact my super specific plans sometime in the future?!?!,0.344,0.656,0.0,0.8071,POS
"Any feedback on a 7pm flight from Philly to SRQ??",0.0,1.0,0.0,0.0,NEU
Polk county?,0.0,1.0,0.0,0.0,NEU
"Flood risk to Tampa Bay? Storm surge?",0.0,0.709,0.291,-0.3527,NEG
Is it coming in as a tropical storm or hurricane,0.0,1.0,0.0,0.0,NEU
Will hillsborough county feel anything?,0.0,1.0,0.0,0.0,NEU
yes,1.0,0.0,0.0,0.4019,POS
Any idea of storm surge in Boca Grande?,0.0,1.0,0.0,0.0,NEU
And the out of state northerners will be losing their minds and buying up everything in sight.... wonderful!,0.177,0.708,0.115,0.3382,POS
the gas station by my place is already getting increased traffic from earlier this morning 🤦‍♂️,0.123,0.877,0.0,0.2732,POS
I moved here 2 years ago and I am not worried at all. Don't lump us all in the same category. I've lived in 8 states and adjust to where I'm at.,0.065,0.935,0.0,0.2235,POS
... you're the rare exception then,0.0,1.0,0.0,0.0,NEU
"Lotta rain, good for the aquifer",0.367,0.633,0.0,0.4404,POS
Well I knew I was smart grocery shopping yesterday. Let the panic buying begin,0.281,0.526,0.193,0.128,POS
No reason to panic.,0.0,0.267,0.733,-0.6705,NEG
tell that to the thousands who empty shelves as soon as reports come out and prepare for Armageddon,0.0,0.904,0.096,-0.2023,NEG
And the panic button just got pushed! May the force be with all those working in the grocery stores.,0.0,0.834,0.166,-0.5562,NEG
"right! Thought I was stocked up, but quickly did a grocery order to pick up tonight after work… Just in case…
Always have plenty of batteries and generators and cords and flashlights and can goods but…🤷🏼‍♀️",0.0,1.0,0.0,0.0,NEU
There's no reason to panic over this. We have stronger afternoon summer storms.,0.144,0.552,0.304,-0.4404,NEG
tell that to the new residents,0.0,1.0,0.0,0.0,NEU
or a McLeans distribution center. Like me. It's going to be a nightmare next week.,0.172,0.828,0.0,0.3612,POS
"thanks I go back tomorrow at 7am to Publix to cashier lol",0.388,0.612,0.0,0.6908,POS
TS Debby? Didn't we have a horrible rain /flooding TS Debby 2012? Why wasn't the name retired?,0.184,0.816,0.0,0.5252,POS
"names can actually be used again after so many years,",0.0,1.0,0.0,0.0,NEU
lived in Port Richey at the time Jasmine Lake totally flooded the area with all the rain we got. We were stranded in the neighborhood with no way out for 2 days. It rained A LOT. But where we were in on Marechal Ave we only got like 4 inches.,0.065,0.903,0.032,0.3919,POS
in NPR Beacon Lakes area. Most homes got water.,0.0,1.0,0.0,0.0,NEU
It gets retired if it causes catastrophic damage and/or death if I'm not mistaken,0.094,0.446,0.46,-0.8477,NEG
Flying home on Sunday into Tampa ?,0.0,1.0,0.0,0.0,NEU
You are awesome Denis! I tell folks not to watch the Weather Channel but to watch you.,0.159,0.841,0.0,0.4295,POS
Hi could I ask you questions:) I am from Minnesota and not familiar with the storm. We will be tomorrow on siesta dunes and with that rain and possible flooding what I should prepare? Should I stay on the key or go inside by Sarasota downtown to hotel. Where will be safer for me and my 3 kids and did not kill rental car:) Never was in that situation. thank you,0.125,0.875,0.0,0.8417,POS
What about Highlands Co? Are we in the clear?,0.27,0.73,0.0,0.4515,POS
So you're leaving Citrus out of the mix.,0.0,1.0,0.0,0.0,NEU
I like the little Debby ‘s.,0.385,0.615,0.0,0.3612,POS
"Why is there nothing for north or hernando?",0.0,1.0,0.0,0.0,NEU
I'm ready,0.714,0.286,0.0,0.3612,POS
"With it coming across the state, will more warnings and watches go out for inland counties?",0.0,0.857,0.143,-0.3597,NEG
Denis Phillips please tell me exactly what the weather will be at 7:03am Monday morning!,0.156,0.844,0.0,0.3802,POS
no golfing Sunday,0.0,0.476,0.524,-0.296,NEG
🙁,0.0,0.0,0.0,0.0,NEU
"Let the Debby memes commence 😁",0.0,1.0,0.0,0.0,NEU
I better rush to the store and get french toast ingredients,0.244,0.756,0.0,0.4404,POS
Perfect for our Nokomis relaxing getaway this weekend 😫🤷🏾‍♀️,0.496,0.504,0.0,0.7845,POS
“Are possible” is the key word here folks!!!,0.0,1.0,0.0,0.0,NEU
yup just another summer storm 🤷‍♀️,0.0,1.0,0.0,0.0,NEU
I know it's too early for storm surge predictions as soon as they know I know you will post it.,0.0,1.0,0.0,0.0,NEU
I'm in Cape Coral they said as of now which can change 1 to 3 feet of surge is expected. I'm on the coast.,0.0,1.0,0.0,0.0,NEU
"yes please are we looking at another Idalia on the beaches?",0.357,0.643,0.0,0.6124,POS
what does it look like for holiday Fl ?,0.464,0.536,0.0,0.6369,POS
rain and wind..... pasco is in the watch area,0.0,1.0,0.0,0.0,NEU
"Thank you!",0.736,0.264,0.0,0.4199,POS
Keep safe,0.744,0.256,0.0,0.4404,POS
So this would be a bad Sunday to go to Universal?,0.0,0.72,0.28,-0.5423,NEG
I think I am still heading to Disney with a poncho. Lol,0.259,0.741,0.0,0.4215,POS
"Here you go, Denis! 😂",0.0,1.0,0.0,0.0,NEU
"Oh great, now I want Tacos for dinner 😂😂😂",0.474,0.526,0.0,0.6597,POS
you’re welcome!! 😂🤪,0.642,0.358,0.0,0.555,POS
ohhh there it is! 🤣,0.0,1.0,0.0,0.0,NEU
Denis Phillips time for the taco graphic 💁🏽‍♀️,0.0,1.0,0.0,0.0,NEU
I have a ficus tree in a terra cotta 8” planter in the southwest corner of my north facing patio .3 miles inland from Indian Rocks Beach. Question: what is the meaning of life?,0.0,1.0,0.0,0.0,NEU
"Tell everybody WHY it won't all of a sudden become a cat 1,2... Lots of warm water there....",0.112,0.888,0.0,0.2263,POS
exactly 💯,0.0,1.0,0.0,0.0,NEU
What about Manatee County ?,0.0,1.0,0.0,0.0,NEU
"For those that prefer cupcakes over tacos....",0.0,1.0,0.0,0.0,NEU
Thank you Denis....business as usual.,0.385,0.615,0.0,0.3612,POS
Welcome new Floridians to Jurassic park 🤪,0.375,0.625,0.0,0.4588,POS
rain or shine !,0.0,1.0,0.0,0.0,NEU
following!,0.0,1.0,0.0,0.0,NEU
ughhh,0.0,1.0,0.0,0.0,NEU
"Lord, please keep the power on during the TS!! 🙏🏼",0.243,0.757,0.0,0.4374,POS
this is true 🤣😂,0.483,0.517,0.0,0.4215,POS
"Chill out transplants, your afternoon Thunderstorms are stronger.",0.271,0.729,0.0,0.3818,POS
well I best get milk since I’m running low cause people will be grabbing it all,0.309,0.588,0.103,0.6369,POS
let them be petrified,0.0,0.462,0.538,-0.5423,NEG
scare them into moving back,0.0,0.556,0.444,-0.4939,NEG
OMG Bacardi 151 run,0.0,1.0,0.0,0.0,NEU
Thank you,0.714,0.286,0.0,0.3612,POS
ugh,0.0,0.0,1.0,-0.4215,NEG
"Thank you!",0.736,0.264,0.0,0.4199,POS
My 2nd Elena 🌀🌀 This girl is ready. Generac ✔️✔️ All other essentials ☑️☑️ Stay safe 🌪🌫🌬⚡️💧🌊🌀🌀🌀,0.265,0.735,0.0,0.6597,POS
