"New track coming out shortly. Don't expect any changes. This will be an ""East-weighted"" system with heavy rains setting up West of I-75. We'll post the update when it's released.",Pos,Neu,Neg,Compound,Overall Sentiment
"What will it be like traveling on Monday 1 75 from Tn to clearwater",0.172,0.828,0.0,0.3612,POS
Same with us but coming from Atlanta and trying to plan our route to Southwest FL.,0.0,1.0,0.0,0.0,NEU
"bright sunshine and breezy...the "" calm"" before the storm",0.627,0.373,0.0,0.8126,POS
Watching from Springhill fl,0.0,1.0,0.0,0.0,NEU
"Me too ❤️",0.0,1.0,0.0,0.0,NEU
Crystal River rock crusher canyon Rd ok? Literally just bought a RV travel trailer that I live in,0.128,0.872,0.0,0.296,POS
I've stayed put during Tropical storms and a Cat 1 in my OLD leaking travel trailer and I was ok. I've been more terrified during a really bad afternoon thunderstorm. The tropical storm was direct and the cat 1 was either to the north or south a ways. Your best bet if you're in an RV park is to talk to your neighbors. They'll tell you what to do. Mine did.,0.085,0.808,0.107,-0.3991,NEG
"Keep it more west as it goes up the coast like Idalia did.",0.172,0.828,0.0,0.3612,POS
My future step daughter has a layover in Miami tomorrow. Coming from costa Rico on her internship and has to get home to catch a flight out of bwi the next day for our Jamaican wedding. Worried she won’t make it,0.0,0.945,0.055,-0.296,NEG
throw me a plate of Jerk Chicken and I will guarantee she will make it on time,0.115,0.747,0.138,-0.1027,NEG
and some rum!,0.0,1.0,0.0,0.0,NEU
"she’s got ZERO to worry about",0.0,0.633,0.367,-0.4404,NEG
Sitting on the beach in sunny New England waiting on news from Southwest about a 3:30pm arrival into Tampa tomorrow 😆knew it was a risk after living in Florida for 13 years but this is the only time that allowed for a visit with the family 🤷🏻‍♀️,0.042,0.924,0.034,0.09,POS
"I am flying into it now, from Mass as well. 🤦‍♀️ hoping for sunny skies.",0.412,0.588,0.0,0.7717,POS
"it’ll be sunny Florida eventually I’m sure just not tomorrow!!",0.415,0.585,0.0,0.6892,POS
"When is the next DPL?!",0.0,1.0,0.0,0.0,NEU
should be tonight I think,0.0,1.0,0.0,0.0,NEU
7:30 is the usual time but I wasn’t sure if there would be more and/or earlier ones today. Thanks and see you at 7:30 😊,0.245,0.755,0.0,0.7783,POS
"my heart goes out to those in the big bend area",0.0,1.0,0.0,0.0,NEU
"they just got pounded less than 10 months ago, I think? Jim Cantore rarely lands in gville. Please no repeat. I may be up there tonight ✌🏽",0.084,0.836,0.08,0.0258,NEU
is he there now?,0.0,1.0,0.0,0.0,NEU
"doubt it. But, my rumour mill will LMK when or if.....",0.0,0.851,0.149,-0.1901,NEG
"Keep up your great work and keeping your fans updated",0.313,0.687,0.0,0.6249,POS
"Currently on a cruise. We were supposed to arrive in Tampa on Sunday morning. Cruise has been extended until Monday morning.
Denis Phillips do you see any problem with sailing into Tampa and docking on Monday 4/5 into Tampa?",0.0,0.932,0.068,-0.4019,NEG
"Probably get a little wet from rain, but worst over Sunday evening.",0.0,0.639,0.361,-0.7684,NEG
"only the Captain knows",0.0,1.0,0.0,0.0,NEU
"Driving on 75 from Venice to Spring Hill tomorrow morning?? 😳😬",0.0,1.0,0.0,0.0,NEU
Where is West of 75 like where,0.294,0.706,0.0,0.3612,POS
<—— 75 would be considered west. Anything that is on the other side of 75 heading towards the middle of the state would be east of 75. Hope that helps makes sense.,0.155,0.845,0.0,0.6705,POS
what about Zephyrhills,0.0,1.0,0.0,0.0,NEU
Towards California. That is West. Toward the Atlantic is East. 😕,0.0,1.0,0.0,0.0,NEU
"Along the coastal area’s example includes see photo",0.0,1.0,0.0,0.0,NEU
"Thanks since I am in Hillsborough County",0.367,0.633,0.0,0.4404,POS
"this is what I was afraid of.",0.0,1.0,0.0,0.0,NEU
"Will I get to use my generator?",0.0,1.0,0.0,0.0,NEU
"Watching from Port Richey",0.0,1.0,0.0,0.0,NEU
When will u be live next c,0.0,1.0,0.0,0.0,NEU
My apartment complex sent out an email to everyone to prepare for hurricane Debby. I hate people like them. Fear mongering. I said ok but this isn't even a hurricane.,0.107,0.705,0.188,-0.3612,NEG
Keep it away from Tally.,0.0,1.0,0.0,0.0,NEU
"Denis always keepin it real! No hype. THANK YOU Denis Phillips!!!
⭐️⭐️⭐️⭐️⭐️ BestMeteorologist",0.25,0.625,0.125,0.4941,POS
Right? Some of the doom and gloom posts/ videos border on criminal in my opinion. DP always keeps it real.,0.0,0.637,0.363,-0.8658,NEG
He's always been on point and accurate. All the other (no names) have enticed fear and hype.,0.0,0.833,0.167,-0.4939,NEG
I moved to FL 2 years ago & a friend told me that DP was the only one to follow. I'm so glad I listened to him. No hype. No click bait. Just honest info without hysteria.,0.296,0.602,0.102,0.8545,POS
truth! Welcome to Florida! Glad you're here!,0.696,0.304,0.0,0.8472,POS
Thanks! Love it here in St Pete Beach 🌴🐚🌊,0.514,0.486,0.0,0.8122,POS
Best beaches in the world.,0.512,0.488,0.0,0.6369,POS
agreed 💯,1.0,0.0,0.0,0.2732,POS
Tampa will be sparred yet again! Thank god for the Seminole tribe blessing the land and protecting it from major damages!,0.296,0.601,0.103,0.6688,POS
I also heard the Greek Pope’s blessings protect Tarpon Springs. They haven’t had a big storm in 100 years. 1921,0.276,0.724,0.0,0.7269,POS
yes but will be in the bad side,0.147,0.476,0.377,-0.5994,NEG
"Thank you Denis Phillips for all the updates,",0.263,0.737,0.0,0.3612,POS
Any updates on flights? 🤣🤣🤣🤣,0.0,1.0,0.0,0.0,NEU
I need to know that too lol. We fly in Monday evening to Tampa for work,0.167,0.833,0.0,0.4215,POS
my comment was satire bc Dennis has been saying for days he can’t give advice on flights… he doesn’t work at the airport.,0.0,1.0,0.0,0.0,NEU
lmao ok. I'm a new follower. I just followed since we're headed that way. Thanks for letting me know. 🤣🤣,0.375,0.625,0.0,0.8402,POS
very sensitive topic for Dennis lately lol. No worries. He said flights on Sat are prob ok and Sunday all flights questionable … likely delays,0.16,0.609,0.231,-0.296,NEG
ok. Hopefully by Monday they will be good. My husband travels for work and I go to lay around the pool. This week isn't looking too good for that 🤣,0.308,0.692,0.0,0.8658,POS
check with your airline,0.0,1.0,0.0,0.0,NEU
"I am a mile east, but by the Alafia River. Born and raised here so used to it.",0.0,1.0,0.0,0.0,NEU
We are driving down Sunday afternoon to Orlando from Tennessee. Do you think it will be safe to drive??,0.153,0.847,0.0,0.504,POS
"not a great idea to drive in hurricanes, tornadoes or heavy rains...just saying!",0.0,0.754,0.246,-0.5553,NEG
"Might as well ask it-“will there be heat lightening?”",0.208,0.792,0.0,0.2732,POS
How Heavy For Hernando County? New to this,0.0,1.0,0.0,0.0,NEU
"Where am I looking for rainfall total 👀",0.0,1.0,0.0,0.0,NEU
Can you post approximate rain totals up into the Carolinas through Georgia by chance?,0.133,0.867,0.0,0.25,POS
Thank you,0.714,0.286,0.0,0.3612,POS
Just clean out your gutters! So many issues arise from clogged gutters!,0.23,0.77,0.0,0.508,POS
Still hesitating if I should take my Sail shades down? W. Bradenton? I may wait a little more to see if it moves more west?,0.0,0.877,0.123,-0.4479,NEG
oh good 😂😂,0.592,0.408,0.0,0.4404,POS
His my neighbor his the best,0.457,0.543,0.0,0.6369,POS
❤️,0.0,1.0,0.0,0.0,NEU
Just got this,0.0,1.0,0.0,0.0,NEU
"what area",0.0,1.0,0.0,0.0,NEU
"reat —now off to the store to get some Diet Doctor Pepper 🌀🙌🏼😂",0.0,1.0,0.0,0.0,NEU
"Thank you",0.714,0.286,0.0,0.3612,POS
Thank you Denis!!,0.607,0.393,0.0,0.4738,POS
Thank you Dennis Phillips,0.455,0.545,0.0,0.3612,POS
"Thank you!",0.736,0.264,0.0,0.4199,POS
"Thank you Denis",0.556,0.444,0.0,0.3612,POS
Thank you.,0.714,0.286,0.0,0.3612,POS
"Thank you!",0.736,0.264,0.0,0.4199,POS
Thank you👍,0.714,0.286,0.0,0.3612,POS
